Node,Degree
Yang_Liu,426
H._Vincent_Poor,389
Yu_Zhang,379
Philip_S._Yu,362
Wei_Wang,359
Xin_Wang,337
Lei_Wang,324
Wei_Zhang,313
Jun_Wang,306
Xi_Chen,304
Xin_Li,300
Yi_Zhang,297
Jing_Wang,295
Zhu_Han_0001,292
Hai_Jin_0001,291
Dacheng_Tao,290
Hao_Wang,287
Witold_Pedrycz,286
Nassir_Navab,283
Wei_Liu,283
Lei_Zhang,283
Jing_Li,276
Jing_Zhang,262
Yong_Wang,259
Yoshua_Bengio,252
Wei_Li,252
Luc_Van_Gool,251
Yonina_C._Eldar,251
Licheng_Jiao,251
Nadeem_Javaid,249
