group,variable,value
0,6,2.835157545605307
0,2,0.6938640132669984
0,3,0.8238805970149254
0,15,0.9512437810945272
0,17,0.2587064676616915
0,12,1.1409618573797675
0,13,1.2139303482587065
0,39,1.0056384742951907
0,31,1.716749585406302
0,52,2.268656716417911
0,57,0.9154228855721394
0,27,0.8159203980099502
0,32,11.839469320066335
0,16,0.7482587064676617
0,65,0.5704809286898839
0,23,1.4381426202321723
0,63,0.4868988391376451
0,1,0.7827529021558872
0,54,5.180762852404643
0,73,0.9061359867330016
1,6,5.9074808835378
1,2,1.667654793937459
1,3,1.4533071859655524
1,15,1.228318207385111
1,17,0.8619510192912847
1,12,1.6600538149313633
1,13,2.186041562153205
1,39,0.7053708517657074
1,31,1.0610966692509995
1,52,1.5490795214423618
1,57,1.0078898162083276
1,27,0.7372949635913105
1,32,1.2252778157826727
1,16,0.4271750201425944
1,65,23.78194311427312
1,23,0.8209057326583663
1,63,0.8710721940985998
1,1,3.732080691993129
1,54,2.7135495051762666
1,73,1.7543059546069533
2,6,3.2302923504808816
2,2,0.5265280991911
2,3,36.57353347062695
2,15,2.0020806352306746
2,17,0.9660092142417358
2,12,3.18570730982357
2,13,1.064733232840067
2,39,1.593384429205325
2,31,0.463896732553449
2,52,1.4203520095114754
2,57,6.759941402517994
2,27,0.3959576229804038
2,32,0.8651620984692469
2,16,1.536060805503068
2,65,0.9883017345703912
2,23,0.5604976539776225
2,63,1.2802275960170697
2,1,0.9033778476040848
2,54,1.0307636780535443
2,73,0.2685717925309441
3,6,31.1041581379028
3,2,3.2224106672904846
3,3,0.5409673080297093
3,15,0.655009064857594
3,17,0.3070354991519972
3,12,1.2544593251067315
3,13,8.082343996724955
3,39,0.7982922977951927
3,31,0.6140709983039944
3,52,0.6637815076905083
3,57,0.1929937423241125
3,27,0.1345107901046845
3,32,0.4971050938651383
3,16,0.552663898473595
3,65,0.4035323703140535
3,23,0.2865664658751974
3,63,6.895140066670566
3,1,1.026375811450962
3,54,0.1081934616059418
3,73,0.4064565179250248
4,6,3.916527782702741
4,2,1.7499379454629267
4,3,0.6950108152193184
4,15,2.604517570298926
4,17,1.6346938051842133
4,12,0.5496258997907876
4,13,3.069040104960817
4,39,0.7127406829545052
4,31,24.30942165171448
4,52,1.303145278536222
4,57,1.209176979539733
4,27,0.9485479238324882
4,32,0.9290450693237828
4,16,2.512322258075955
4,65,0.5531718733378249
4,23,1.3191021594978902
4,63,0.41310591822985
4,1,8.052905925321797
4,54,1.2003120456721392
4,73,0.2783589234424311
5,6,6.196041830176272
5,2,2.337568674034321
5,3,0.3924230532634749
5,15,31.432025963557685
5,17,1.949388032157478
5,12,4.5224105381498845
5,13,0.4793924866894342
5,39,2.73847655007106
5,31,0.8718155399529092
5,52,1.7478734912924505
5,57,1.9918121460238
5,27,0.7233311414207836
5,32,0.209999363638292
5,16,0.6618161763146172
5,65,0.3393929109305729
5,23,0.6278768852215599
5,63,0.3648473792503659
5,1,0.6342405023015082
5,54,0.0551513480262181
5,73,0.1421207814521774
6,6,32.35030897080758
6,2,1.6450031962497336
6,3,0.7436607713616024
6,15,1.0014915832090348
6,17,0.7159599403366717
6,12,1.6194331983805668
6,13,5.241849563179203
6,39,0.6264649477945877
6,31,0.5987641167696569
6,52,0.6051566162369486
6,57,0.4346899637758364
6,27,0.219475815043682
6,32,0.5859791178350735
6,16,0.3643724696356275
6,65,0.4453441295546558
6,23,0.8075857660345196
6,63,1.4276582143618155
6,1,0.88429575964202
6,54,0.4219049648412529
6,73,0.4176432985297251
7,6,4.637105296529569
7,2,2.575699933775768
7,3,0.8130081300813009
7,15,1.4202984317538148
7,17,0.3917092897098815
7,12,1.0370432993758014
7,13,2.1022671231911625
7,39,0.9708190669428358
7,31,0.791872736751631
7,52,0.7679192909780052
7,57,1.8528694819010585
7,27,26.113482971918103
7,32,0.9961815389384396
7,16,0.963773935832946
7,65,0.7439658452043793
7,23,0.6509701145538318
7,63,1.2230347606768963
