,group,variable,value
0,6,6,62.6714026102759
1,6,2,2.053160049195070
2,6,3,0.7076380857976760
3,6,19,0.0
4,6,13,5.701488701653910
5,6,17,0.0725076637847164
6,6,39,0.0440552893881821
7,6,1,0.9453530847880760
8,6,32,0.0660829340822732
9,6,25,0.1780567946105700
10,6,97,0.0
11,6,191,0.0
12,6,16,0.3891550562622760
13,6,55,0.1358371422802280
14,6,68,0.0
15,6,36882,0.0
16,6,58,0.0
17,6,77,0.4249499788901740
18,6,2036,0.0
19,6,78,0.0
20,2,6,2.1247933378237700
21,2,2,81.8688384054865
22,2,3,0.1836997122037840
23,2,19,0.0
24,2,13,2.882044373686040
25,2,17,0.1551242014165290
26,2,39,0.0571510215745106
27,2,1,0.6756067193272510
28,2,32,0.0306166187006307
29,2,25,0.5694691078317310
30,2,97,0.0
31,2,191,0.0
32,2,16,0.2918784316126790
33,2,55,0.0673565611413875
34,2,68,0.0
35,2,36882,0.0
36,2,58,0.0
37,2,77,0.0285755107872553
38,2,2036,0.0
39,2,78,0.0
40,3,6,1.134871714991430
41,3,2,0.1446405126949870
42,3,3,88.90050957965240
43,3,19,0.0
44,3,13,0.3204343665858160
45,3,17,0.0689823983622243
46,3,39,0.0
47,3,1,0.2047219564298270
48,3,32,0.0044504773136918
49,3,25,0.1201628874696810
50,3,97,0.0
51,3,191,0.0
52,3,16,0.0778833529896081
53,3,55,0.1624424219497540
54,3,68,0.0
55,3,36882,0.0
56,3,58,0.0
57,3,77,0.0089009546273837
58,3,2036,0.0
59,3,78,0.0
60,15,6,6.214375086890030
61,15,2,1.139997219518980
62,15,3,0.424023356040595
63,15,19,0.0
64,15,13,45.16891422216040
65,15,17,0.0208536076741276
66,15,39,0.0
67,15,1,2.3286528569442500
68,15,32,0.6395106353399140
69,15,25,1.2095092450994000
70,15,97,0.0
71,15,191,0.0
72,15,16,1.181704434867230
73,15,55,0.257194494647574
74,15,68,0.0
75,15,36882,0.0
76,15,58,0.0
77,15,77,0.0834144306965105
78,15,2036,0.0
79,15,78,0.0
80,17,6,2.034052903618120
81,17,2,0.5533596837944660
82,17,3,0.4317421708726060
83,17,19,0.0
84,17,13,0.2280328367284890
85,17,17,0.2736394040741870
86,17,39,0.0091213134691395
87,17,1,1.7543326238978400
88,17,32,0.0152021891152325
89,17,25,0.6080875646093040
90,17,97,0.0
91,17,191,0.0
92,17,16,1.4776527820006100
93,17,55,0.8391608391608390
94,17,68,0.0
95,17,36882,0.0
96,17,58,0.0
97,17,77,0.0152021891152325
98,17,2036,0.0
99,17,78,0.0
100,12,6,6.653771760154740
101,12,2,0.0
102,12,3,0.2707930367504840
103,12,19,0.0
104,12,13,0.0
105,12,17,0.0386847195357833
106,12,39,0.0
107,12,1,0.0773694390715667
108,12,32,0.0
109,12,25,0.0
110,12,97,0.0
111,12,191,0.0
112,12,16,0.0
113,12,55,7.388781431334620
114,12,68,0.0
115,12,36882,0.0
116,12,58,0.0
117,12,77,1.0058027079303700
118,12,2036,0.0
119,12,78,0.0
120,13,6,1.5178785697144200
121,13,2,0.2549796016318690
122,13,3,8.828293736501080
123,13,19,0.0
124,13,13,0.1289896808255340
125,13,17,0.1319894408447320
126,13,39,0.0029997600191984
127,13,1,0.2639788816894650
128,13,32,0.0269978401727861
129,13,25,0.0899928005759539
130,13,97,0.0
131,13,191,0.0
132,13,16,0.3089752819774420
133,13,55,0.4319654427645790
134,13,68,0.0
135,13,36882,0.0
136,13,58,0.0
137,13,77,0.083993280537557
138,13,2036,0.0
139,13,78,0.0
140,39,6,0.945217333422086
141,39,2,3.671037742128740
142,39,3,0.4526392864274780
143,39,19,0.0
144,39,13,0.2130067230246950
145,39,17,0.1098315915596090
146,39,39,0.0
147,39,1,0.4892498169473470
148,39,32,0.249617253544565
149,39,25,0.672302469546695
150,39,97,0.0
151,39,191,0.0
152,39,16,0.4659522066165210
153,39,55,0.1763961925048260
154,39,68,0.0
155,39,36882,0.0
156,39,58,0.0
157,39,77,0.0765492910869999
158,39,2036,0.0
159,39,78,0.0
160,31,6,0.7696007696007700
161,31,2,0.2084335417668750
162,31,3,0.9299342632675960
163,31,19,0.0
164,31,13,0.0160333493666827
165,31,17,1.3708513708513700
166,31,39,0.0
167,31,1,0.024050024050024
168,31,32,0.0481000481000481
169,31,25,0.0
170,31,97,0.0
171,31,191,0.0
172,31,16,3.278819945486610
173,31,55,0.0481000481000481
174,31,68,0.0
175,31,36882,0.0
176,31,58,0.0
177,31,77,0.2244668911335580
178,31,2036,0.0
179,31,78,0.0
180,52,6,0.0
181,52,2,0.0
182,52,3,0.0
183,52,19,0.0
184,52,13,0.0
185,52,17,0.0
186,52,39,0.0
187,52,1,0.0
188,52,32,0.0
189,52,25,0.0
190,52,97,0.0
191,52,191,0.0
192,52,16,0.0
193,52,55,0.0
194,52,68,0.0
195,52,36882,0.0
196,52,58,0.0
197,52,77,0.0
198,52,2036,0.0
199,52,78,0.0
200,57,6,0.0
201,57,2,0.0
202,57,3,0.0
203,57,19,0.0
204,57,13,0.0
205,57,17,0.0
206,57,39,0.0
207,57,1,0.0
208,57,32,0.0
209,57,25,0.0
210,57,97,0.0
211,57,191,0.0
212,57,16,0.0
213,57,55,0.0
214,57,68,0.0
215,57,36882,0.0
216,57,58,0.0
217,57,77,0.0
218,57,2036,0.0
219,57,78,0.0
220,27,6,0.0
221,27,2,0.0
222,27,3,0.0
223,27,19,0.0
224,27,13,0.0
225,27,17,0.0
226,27,39,0.0
227,27,1,0.0
228,27,32,0.0
229,27,25,0.0
230,27,97,0.0
231,27,191,0.0
232,27,16,0.0
