group,variable,value
6,6,62.6714026102759
6,2,2.053160049195070
6,3,0.7076380857976760
6,19,0.0
6,13,5.701488701653910
6,17,0.0725076637847164
6,39,0.0440552893881821
6,1,0.9453530847880760
6,32,0.0660829340822732
6,25,0.1780567946105700
6,97,0.0
6,191,0.0
6,16,0.3891550562622760
6,55,0.1358371422802280
6,68,0.0
6,36882,0.0
6,58,0.0
6,77,0.4249499788901740
6,2036,0.0
6,78,0.0
2,6,2.1247933378237700
2,2,81.8688384054865
2,3,0.1836997122037840
2,19,0.0
2,13,2.882044373686040
2,17,0.1551242014165290
2,39,0.0571510215745106
2,1,0.6756067193272510
2,32,0.0306166187006307
2,25,0.5694691078317310
2,97,0.0
2,191,0.0
2,16,0.2918784316126790
2,55,0.0673565611413875
2,68,0.0
2,36882,0.0
2,58,0.0
2,77,0.0285755107872553
2,2036,0.0
2,78,0.0
3,6,1.134871714991430
3,2,0.1446405126949870
3,3,88.90050957965240
3,19,0.0
3,13,0.3204343665858160
3,17,0.0689823983622243
3,39,0.0
3,1,0.2047219564298270
3,32,0.0044504773136918
3,25,0.1201628874696810
3,97,0.0
3,191,0.0
3,16,0.0778833529896081
3,55,0.1624424219497540
3,68,0.0
3,36882,0.0
3,58,0.0
3,77,0.0089009546273837
3,2036,0.0
3,78,0.0
15,6,6.214375086890030
15,2,1.139997219518980
15,3,0.424023356040595
15,19,0.0
15,13,45.16891422216040
15,17,0.0208536076741276
15,39,0.0
15,1,2.3286528569442500
15,32,0.6395106353399140
15,25,1.2095092450994000
15,97,0.0
15,191,0.0
15,16,1.181704434867230
15,55,0.257194494647574
15,68,0.0
15,36882,0.0
15,58,0.0
15,77,0.0834144306965105
15,2036,0.0
15,78,0.0
17,6,2.034052903618120
17,2,0.5533596837944660
17,3,0.4317421708726060
17,19,0.0
17,13,0.2280328367284890
17,17,0.2736394040741870
17,39,0.0091213134691395
17,1,1.7543326238978400
17,32,0.0152021891152325
17,25,0.6080875646093040
17,97,0.0
17,191,0.0
17,16,1.4776527820006100
17,55,0.8391608391608390
17,68,0.0
17,36882,0.0
17,58,0.0
17,77,0.0152021891152325
17,2036,0.0
17,78,0.0
12,6,6.653771760154740
12,2,0.0
12,3,0.2707930367504840
12,19,0.0
12,13,0.0
12,17,0.0386847195357833
12,39,0.0
12,1,0.0773694390715667
12,32,0.0
12,25,0.0
12,97,0.0
12,191,0.0
12,16,0.0
12,55,7.388781431334620
12,68,0.0
12,36882,0.0
12,58,0.0
12,77,1.0058027079303700
12,2036,0.0
12,78,0.0
13,6,1.5178785697144200
13,2,0.2549796016318690
13,3,8.828293736501080
13,19,0.0
13,13,0.1289896808255340
13,17,0.1319894408447320
13,39,0.0029997600191984
13,1,0.2639788816894650
13,32,0.0269978401727861
13,25,0.0899928005759539
13,97,0.0
13,191,0.0
13,16,0.3089752819774420
13,55,0.4319654427645790
13,68,0.0
13,36882,0.0
13,58,0.0
13,77,0.083993280537557
13,2036,0.0
13,78,0.0
39,6,0.945217333422086
39,2,3.671037742128740
39,3,0.4526392864274780
39,19,0.0
39,13,0.2130067230246950
39,17,0.1098315915596090
39,39,0.0
39,1,0.4892498169473470
39,32,0.249617253544565
39,25,0.672302469546695
39,97,0.0
39,191,0.0
39,16,0.4659522066165210
39,55,0.1763961925048260
39,68,0.0
39,36882,0.0
39,58,0.0
39,77,0.0765492910869999
39,2036,0.0
39,78,0.0
31,6,0.7696007696007700
31,2,0.2084335417668750
31,3,0.9299342632675960
31,19,0.0
31,13,0.0160333493666827
31,17,1.3708513708513700
31,39,0.0
31,1,0.024050024050024
31,32,0.0481000481000481
31,25,0.0
31,97,0.0
31,191,0.0
31,16,3.278819945486610
31,55,0.0481000481000481
31,68,0.0
31,36882,0.0
31,58,0.0
31,77,0.2244668911335580
31,2036,0.0
31,78,0.0
52,6,0.0
52,2,0.0
52,3,0.0
52,19,0.0
52,13,0.0
52,17,0.0
52,39,0.0
52,1,0.0
52,32,0.0
52,25,0.0
52,97,0.0
52,191,0.0
52,16,0.0
52,55,0.0
52,68,0.0
52,36882,0.0
52,58,0.0
52,77,0.0
52,2036,0.0
52,78,0.0
57,6,0.0
57,2,0.0
57,3,0.0
57,19,0.0
57,13,0.0
57,17,0.0
57,39,0.0
57,1,0.0
57,32,0.0
57,25,0.0
57,97,0.0
57,191,0.0
57,16,0.0
57,55,0.0
57,68,0.0
57,36882,0.0
57,58,0.0
57,77,0.0
57,2036,0.0
57,78,0.0
27,6,0.0
27,2,0.0
27,3,0.0
27,19,0.0
27,13,0.0
27,17,0.0
27,39,0.0
27,1,0.0
27,32,0.0
27,25,0.0
27,97,0.0
27,191,0.0
27,16,0.0
27,55,0.0
27,68,0.0
27,36882,0.0
27,58,0.0
27,77,0.0
27,2036,0.0
27,78,0.0
32,6,1.724497601001320
32,2,0.2607607259578610
32,3,0.0834434323065155
32,19,0.0
32,13,1.8774772268966
32,17,0.0556289548710103
32,39,0.0208608580766288
32,1,1.390723871775260
32,32,0.0451985258326959
32,25,0.3233433001877480
32,97,0.0
32,191,0.0
32,16,1.0639037619080700
32,55,0.3163896808288710
32,68,0.0
32,36882,0.0
32,58,0.0
32,77,0.0347680967943814
32,2036,0.0
32,78,0.0
16,6,1.0178342257821800
16,2,0.6903571270522640
16,3,0.7080585918484760
16,19,0.0
16,13,0.5310439438863570
16,17,0.2168429437535960
16,39,0.0
16,1,1.0178342257821800
16,32,0.1593131831659070
16,25,0.1637385493649600
16,97,0.0
16,191,0.0
16,16,2.438376775678190
16,55,0.5575961410806750
16,68,0.0
16,36882,0.0
16,58,0.0
16,77,0.2212683099526490
16,2036,0.0
16,78,0.0
65,6,0.0
65,2,0.0
65,3,0.0
65,19,0.0
65,13,0.0
65,17,0.0
65,39,0.0
65,1,0.0
65,32,0.0
65,25,0.0
65,97,0.0
65,191,0.0
65,16,0.0
65,55,0.0
65,68,0.0
65,36882,0.0
65,58,0.0
65,77,0.0
65,2036,0.0
65,78,0.0
23,6,0.1722574796010880
23,2,3.4814143245693600
23,3,0.0090661831368993
23,19,0.0
23,13,0.5530371713508610
23,17,62.883046237534
23,39,0.0
23,1,0.743427017225748
23,32,0.7252946509519490
23,25,0.1269265639165910
23,97,0.0
23,191,0.0
23,16,0.3898458748866730
23,55,0.0362647325475974
23,68,0.0
23,36882,0.0
23,58,0.0
23,77,0.0453309156844968
23,2036,0.0
23,78,0.0
63,6,0.0
63,2,0.0
63,3,0.0
63,19,0.0
63,13,0.0
63,17,0.0
63,39,0.0
63,1,0.0
63,32,0.0
63,25,0.0
63,97,0.0
63,191,0.0
63,16,0.0
63,55,0.0
63,68,0.0
63,36882,0.0
63,58,0.0
63,77,0.0
63,2036,0.0
63,78,0.0
1,6,2.1211294502796300
1,2,0.6990860728413590
1,3,0.4637839312508530
1,19,0.0
1,13,2.206383849406630
1,17,0.3580684763333790
1,39,0.0068203519301595
1,1,64.13176919929070
1,32,0.0341017596507979
1,25,1.4663756649843100
1,97,0.0
1,191,0.0
1,16,1.418633201473200
1,55,0.1091256308825540
1,68,0.0
1,36882,0.0
1,58,0.0
1,77,0.1261765107079530
1,2036,0.0
1,78,0.0
54,6,1.5913757700205300
54,2,0.0513347022587269
54,3,0.0
54,19,0.0
54,13,0.7186858316221770
54,17,0.0
54,39,0.0
54,1,0.3850102669404520
54,32,0.5903490759753590
54,25,0.5646817248459960
54,97,0.0
54,191,0.0
54,16,0.0770020533880903
54,55,0.3593429158110880
54,68,0.0
54,36882,0.0
54,58,0.0
54,77,0.2566735112936340
54,2036,0.0
54,78,0.0
73,6,0.7462686567164180
73,2,0.3997867803837950
73,3,0.0
73,19,0.0
73,13,0.3731343283582090
73,17,0.0
73,39,0.0
73,1,0.0
73,32,0.0266524520255863
73,25,1.998933901918980
73,97,0.0
73,191,0.0
73,16,50.39978678038380
73,55,0.0
73,68,0.0
73,36882,0.0
73,58,0.0
73,77,0.0
73,2036,0.0
73,78,0.0
