community_id1,community_id2,overlap,perc
1633,1850,0,0.0
1633,1653,0,0.0
1633,83,0,0.0
1633,281,0,0.0
1633,401,0,0.0
1633,1692,0,0.0
1633,1651,0,0.0
1633,1647,0,0.0
1633,370,0,0.0
1633,95,0,0.0
1633,1130,0,0.0
1633,1650,0,0.0
1633,424,0,0.0
1633,300,0,0.0
1633,74,0,0.0
1633,1695,0,0.0
1633,299,0,0.0
1633,1549,0,0.0
1633,443,0,0.0
1633,1906,0,0.0
1691,1850,0,0.0
1691,1653,0,0.0
1691,83,0,0.0
1691,281,0,0.0
1691,401,0,0.0
1691,1692,0,0.0
1691,1651,0,0.0
1691,1647,0,0.0
1691,370,0,0.0
1691,95,0,0.0
1691,1130,0,0.0
1691,1650,0,0.0
1691,424,0,0.0
1691,300,0,0.0
1691,74,0,0.0
1691,1695,0,0.0
1691,299,0,0.0
1691,1549,0,0.0
1691,443,0,0.0
1691,1906,0,0.0
80,1850,0,0.0
80,1653,0,0.0
80,83,0,0.0
80,281,0,0.0
80,401,0,0.0
80,1692,0,0.0
80,1651,0,0.0
80,1647,0,0.0
80,370,0,0.0
80,95,0,0.0
80,1130,0,0.0
80,1650,0,0.0
80,424,0,0.0
80,300,0,0.0
80,74,0,0.0
80,1695,0,0.0
80,299,0,0.0
80,1549,0,0.0
80,443,0,0.0
80,1906,0,0.0
82,1850,0,0.0
82,1653,0,0.0
82,83,0,0.0
82,281,0,0.0
82,401,0,0.0
82,1692,0,0.0
82,1651,0,0.0
82,1647,0,0.0
82,370,0,0.0
82,95,0,0.0
82,1130,0,0.0
82,1650,0,0.0
82,424,0,0.0
82,300,0,0.0
82,74,0,0.0
82,1695,0,0.0
82,299,0,0.0
82,1549,0,0.0
82,443,0,0.0
82,1906,0,0.0
400,1850,1,1.694915254237288
400,1653,1,1.694915254237288
400,83,1,1.694915254237288
400,281,1,1.694915254237288
400,401,1,1.694915254237288
400,1692,1,1.694915254237288
400,1651,1,1.694915254237288
400,1647,1,1.694915254237288
400,370,1,1.694915254237288
400,95,1,1.694915254237288
400,1130,1,1.694915254237288
400,1650,1,1.694915254237288
400,424,1,1.694915254237288
400,300,1,1.694915254237288
400,74,1,1.694915254237288
400,1695,1,1.694915254237288
400,299,1,1.694915254237288
400,1549,1,1.694915254237288
400,443,1,1.694915254237288
400,1906,1,1.694915254237288
1692,1850,55,100.0
1692,1653,55,100.0
1692,83,55,100.0
1692,281,55,100.0
1692,401,55,100.0
1692,1692,55,100.0
1692,1651,55,100.0
1692,1647,55,100.0
1692,370,55,100.0
1692,95,55,100.0
1692,1130,55,100.0
1692,1650,55,100.0
1692,424,55,100.0
1692,300,55,100.0
1692,74,55,100.0
1692,1695,55,100.0
1692,299,55,100.0
1692,1549,55,100.0
1692,443,55,100.0
1692,1906,55,100.0
1651,1850,52,100.0
1651,1653,52,100.0
1651,83,52,100.0
1651,281,52,100.0
1651,401,52,100.0
1651,1692,52,100.0
1651,1651,52,100.0
1651,1647,52,100.0
1651,370,52,100.0
1651,95,52,100.0
1651,1130,52,100.0
1651,1650,52,100.0
1651,424,52,100.0
1651,300,52,100.0
1651,74,52,100.0
1651,1695,52,100.0
1651,299,52,100.0
1651,1549,52,100.0
1651,443,52,100.0
1651,1906,52,100.0
1647,1850,41,100.0
1647,1653,41,100.0
1647,83,41,100.0
1647,281,41,100.0
1647,401,41,100.0
1647,1692,41,100.0
1647,1651,41,100.0
1647,1647,41,100.0
1647,370,41,100.0
1647,95,41,100.0
1647,1130,41,100.0
1647,1650,41,100.0
1647,424,41,100.0
1647,300,41,100.0
1647,74,41,100.0
1647,1695,41,100.0
1647,299,41,100.0
1647,1549,41,100.0
1647,443,41,100.0
1647,1906,41,100.0
368,1850,0,0.0
368,1653,0,0.0
368,83,0,0.0
368,281,0,0.0
368,401,0,0.0
368,1692,0,0.0
368,1651,0,0.0
368,1647,0,0.0
368,370,0,0.0
368,95,0,0.0
368,1130,0,0.0
368,1650,0,0.0
368,424,0,0.0
368,300,0,0.0
368,74,0,0.0
368,1695,0,0.0
368,299,0,0.0
368,1549,0,0.0
368,443,0,0.0
368,1906,0,0.0
94,1850,1,2.941176470588235
94,1653,1,2.941176470588235
94,83,1,2.941176470588235
94,281,1,2.941176470588235
94,401,1,2.941176470588235
94,1692,1,2.941176470588235
94,1651,1,2.941176470588235
94,1647,1,2.941176470588235
94,370,1,2.941176470588235
94,95,1,2.941176470588235
94,1130,1,2.941176470588235
94,1650,1,2.941176470588235
94,424,1,2.941176470588235
94,300,1,2.941176470588235
94,74,1,2.941176470588235
94,1695,1,2.941176470588235
94,299,1,2.941176470588235
94,1549,1,2.941176470588235
94,443,1,2.941176470588235
94,1906,1,2.941176470588235
1128,1850,0,0.0
1128,1653,0,0.0
1128,83,0,0.0
1128,281,0,0.0
1128,401,0,0.0
1128,1692,0,0.0
1128,1651,0,0.0
1128,1647,0,0.0
1128,370,0,0.0
1128,95,0,0.0
1128,1130,0,0.0
1128,1650,0,0.0
1128,424,0,0.0
1128,300,0,0.0
1128,74,0,0.0
1128,1695,0,0.0
1128,299,0,0.0
1128,1549,0,0.0
1128,443,0,0.0
1128,1906,0,0.0
422,1850,0,0.0
422,1653,0,0.0
422,83,0,0.0
422,281,0,0.0
422,401,0,0.0
422,1692,0,0.0
422,1651,0,0.0
422,1647,0,0.0
422,370,0,0.0
422,95,0,0.0
422,1130,0,0.0
422,1650,0,0.0
422,424,0,0.0
422,300,0,0.0
422,74,0,0.0
422,1695,0,0.0
422,299,0,0.0
422,1549,0,0.0
422,443,0,0.0
422,1906,0,0.0
1650,1850,28,100.0
1650,1653,28,100.0
1650,83,28,100.0
1650,281,28,100.0
1650,401,28,100.0
1650,1692,28,100.0
1650,1651,28,100.0
1650,1647,28,100.0
1650,370,28,100.0
1650,95,28,100.0
1650,1130,28,100.0
1650,1650,28,100.0
1650,424,28,100.0
1650,300,28,100.0
1650,74,28,100.0
1650,1695,28,100.0
1650,299,28,100.0
1650,1549,28,100.0
1650,443,28,100.0
1650,1906,28,100.0
298,1850,0,0.0
298,1653,0,0.0
298,83,0,0.0
298,281,0,0.0
298,401,0,0.0
298,1692,0,0.0
298,1651,0,0.0
298,1647,0,0.0
298,370,0,0.0
298,95,0,0.0
298,1130,0,0.0
298,1650,0,0.0
298,424,0,0.0
298,300,0,0.0
298,74,0,0.0
298,1695,0,0.0
298,299,0,0.0
298,1549,0,0.0
298,443,0,0.0
298,1906,0,0.0
73,1850,1,4.0
73,1653,1,4.0
73,83,1,4.0
73,281,1,4.0
73,401,1,4.0
73,1692,1,4.0
73,1651,1,4.0
73,1647,1,4.0
73,370,1,4.0
73,95,1,4.0
73,1130,1,4.0
73,1650,1,4.0
73,424,1,4.0
73,300,1,4.0
73,74,1,4.0
73,1695,1,4.0
73,299,1,4.0
73,1549,1,4.0
73,443,1,4.0
73,1906,1,4.0
1695,1850,24,100.0
1695,1653,24,100.0
1695,83,24,100.0
1695,281,24,100.0
1695,401,24,100.0
1695,1692,24,100.0
1695,1651,24,100.0
1695,1647,24,100.0
1695,370,24,100.0
1695,95,24,100.0
