group,variable,value
6,6,78.58772989663042
6,2,1.303306931579183
6,3,0.6141763995167137
6,19,0.524678927820289
6,13,0.5929207499888128
6,17,1.0683760683760684
6,39,0.2606613863158366
6,1,0.4832863471606927
6,32,0.7607285094196089
6,25,0.142077236318074
6,97,0.7081487447979594
6,191,0.7853403141361256
6,16,0.3221908981071285
6,55,0.269611133485479
6,68,0.4541996688593547
6,36882,0.2349308632031145
6,58,0.0671231037723184
6,77,0.2472367655613728
6,2036,0.5336286749899315
6,78,1.1209558329977178
2,6,4.700665188470066
2,2,80.19955654101996
2,3,0.3063898407579117
2,19,0.9514210844587786
2,13,0.1330376940133037
2,17,0.4132231404958678
2,39,1.2275750856682122
2,1,0.7317073170731708
2,32,0.1108647450110864
2,25,0.1814150372908687
2,97,0.4998992138681717
2,191,0.09675468655513
2,16,0.8002418867163877
2,55,0.1612578109252166
2,68,0.1411005845595646
2,36882,0.4212860310421286
2,58,0.0262043942753477
2,77,0.0060471679096956
2,2036,0.1088490223745212
2,78,0.3184841765773029
3,6,1.6547873064874925
3,2,0.2814727380033595
3,3,87.22930948381531
3,19,0.0635583601943069
3,13,1.3392654469514689
3,17,0.2882825623098924
3,39,0.1566259590502565
3,1,0.2746629136968266
3,32,0.1180369546465701
3,25,0.0431288872747083
3,97,0.4834975257638352
3,191,0.2179143778090525
3,16,0.3677305125527761
3,55,0.0544785944522631
3,68,0.061288418758796
3,36882,0.558405593135697
3,58,0.0045398828710219
3,77,0.0136196486130657
3,2036,0.3858900440368638
3,78,0.3359513324556226
15,6,5.353685216385445
15,2,0.6940427993059572
15,3,0.5054442125380341
15,19,6.877561797470265
15,13,6.621067719465888
15,17,57.98526416375387
15,39,3.1659416098775366
15,1,0.960595468604622
15,32,0.9178464556038928
15,25,0.8700681469560188
15,97,1.2196041944325695
15,191,1.073754620665376
15,16,0.5054442125380341
15,55,2.582543314808761
15,68,0.2740966127693816
15,36882,0.3595946387708401
15,58,0.1005859129428923
15,77,0.0100585912942892
15,2036,0.2439208388865139
15,78,0.2564940780043754
17,6,0.9939946158624974
17,2,0.62716326953229
17,3,0.1893323077833328
17,19,84.1670857616188
17,13,0.1745407212377599
17,17,1.4407005295387985
17,39,0.1419992308374996
17,1,0.7277460580421856
17,32,0.565038606040884
17,25,1.100494038990622
17,97,0.1834156731651036
17,191,0.1449575481466141
17,16,1.3578676448835902
17,55,0.1064994231281247
17,68,0.020708221163802
17,36882,0.0177499038546874
17,58,0.1242493269828121
17,77,0.0532497115640623
17,2036,0.0236665384729166
17,78,0.0591663461822915
12,6,5.236405197305101
12,2,0.2827237728585178
12,3,1.693334937439846
12,19,1.3835418671799806
12,13,72.68707892204043
12,17,0.6526708373435997
12,39,0.0992540904716073
12,1,0.2105389797882579
12,32,0.1293310875842156
12,25,0.4481472569778633
12,97,0.3037776708373436
12,191,2.7339990375360923
12,16,0.0571462945139557
12,55,2.6648219441770933
12,68,0.4270933589990375
12,36882,0.2135466794995187
12,58,0.0330846968238691
12,77,0.4451395572666025
12,2036,0.1473772858517805
12,78,0.0962463907603465
13,6,24.17476063737859
13,2,6.912999896305001
13,3,0.31799799523003
13,19,0.3802149942967751
13,13,0.2454114963188275
13,17,0.131346998029795
13,39,0.3145414952818776
13,1,0.6429089903563652
13,32,0.9609069855863952
13,25,1.6210984756835227
13,97,0.4147799937783001
13,191,1.6764024748539628
13,16,5.516573917251392
13,55,0.020738999688915
13,68,0.3940409940893851
13,36882,0.6325394905119077
13,58,0.0311084995333725
13,77,0.1348034979779475
13,2036,0.24886799626698
13,78,1.2927309806090352
39,6,2.878265862761987
39,2,0.6244616709732989
39,3,0.2835199540625897
39,19,0.4701406833189779
39,13,0.1399655469422911
39,17,0.8362044214757394
39,39,80.33663508469711
39,1,0.4880849842090152
39,32,0.4378409417169107
39,25,1.5180878552971575
39,97,0.7177720356014929
39,191,0.0645994832041343
39,16,0.0861326442721791
39,55,0.3301751363766868
39,68,0.200976169968418
39,36882,0.1507321274763135
39,58,0.0107665805340223
39,77,0.100488084984209
39,2036,0.1363766867642836
39,78,0.8541487223657767
31,6,1.801343744325404
31,2,0.5229707644815689
31,3,0.2905393136008716
31,19,0.8026148538224078
31,13,0.2142727437806428
31,17,0.8861449064826584
31,39,0.4902850917014708
31,1,14.864717632104592
31,32,61.91755946976575
31,25,2.375158888687125
31,97,0.1961140366805883
31,191,0.835300526602506
31,16,0.6428182313419285
31,55,0.2106410023606319
31,68,0.0798983112402396
31,36882,0.5447612130016343
31,58,0.0363174142001089
31,77,0.0435808970401307
31,2036,0.4358089704013074
31,78,0.0508443798801525
52,6,2.7457440966501925
52,2,0.2233205198608822
52,3,0.1684056379278784
