,author,community
212,Wanchao_Chi,49
213,Yonggen_Ling,49
214,Chieh-Chi_Kao,42
215,Teng-Yok_Lee,42
216,Qiang_Ren,41
217,Frank_Kaptein,15
218,Yang_Zhao,55
219,Haofeng_Zhang,55
220,Rahaf_Aljundi,56
221,Tinne_Tuytelaars,56
222,Ryan_Rhay_P._Vicerra,33
223,Edwin_Sybingco,33
224,Jiaguo_Yu,55
225,Ahmad_Reza_Cheraghi,57
226,Kalman_Graffi,57
227,Chaofeng_Chen,55
228,Kwan-Yee_K._Wong,55
229,Anders_Lindbjerg_Dahl,58
230,Henrik_Aanæs,58
231,Jiwen_Lu,11
232,Kai-Kuang_Ma,11
233,Taras_Kowaliw,43
234,Riddhish_Bhalodia,40
235,Xinlei_Cai,60
236,Xu_Lin,60
237,Ignas_Budvytis,61
238,Roberto_Cipolla,61
239,Lei_Chen_0004,62
240,Chee_Wee_Leong,62
241,Shengbin_Liao,55
242,Cheng-Ju_Hsieh,63
243,Chiou-Ting_Hsu,63
244,Sheng-Hung_Liu,63
245,Florian_Lingenfelser,17
246,Elisabeth_André,17
247,Xin_Qi_Lee,23
248,Yeonkyeong_Lee,53
249,Jana_Brotánková,20
250,Lanfen_Lin,19
251,Bob_Pressey,20
252,Marcus_Randall,20
253,Caner_Hazirbas,237
254,Daniel_Cremers,237
255,Yingyue_Xu,11
256,Guoying_Zhao_0001,11
257,Zorah_Lähner,237
258,Rajdeep_H._Banerjee,64
259,Arun_Patro,64
260,Michelle_Yuen_Ting_Yip,23
261,Lam_Huynh,65
262,Janne_Heikkilä,65
263,Esa_Rahtu,65
264,Aruna_Rajan,64
265,Nilpa_Jha,64
266,Takahito_Kawanishi,66
267,Kunio_Kashino,66
268,Xiatian_Zhu,67
269,Shaogang_Gong,67
270,Yi-An_Lee,63
271,Xuelin_Qian,268
272,Xiangyang_Xue,268
273,Yanwei_Fu,268
274,Anoop_Kolar_Rajagopal,64
275,Vassiliki_A._Koutsonikola,69
276,Athena_Vakali,69
277,Konstantinos_Kafetsios,69
278,Zhiyu_Xiang,70
279,Chengyu_Qiao,70
280,Daigo_Muramatsu,28
281,Xiaofeng_Wang,71
282,Song_Wang_0002,71
283,Rosalind_W._Picard,7
284,Junha_Kim,14
285,Bohyung_Han,14
286,Thomas_H._Li,72
287,Ge_Li_0002,72
288,Dagmar_Schuller,15
289,Rabab_Abdelfattah,71
290,Yan_Yan_0002,11
291,Nicu_Sebe,11
292,Yun-Yun_Tsou,63
293,Victor_Zuanazzi,52
294,Sareh_Shirazi,3
295,Dan_Xu_0002,11
296,Fabio_Tosi,4
297,Dong_Wang_0004,73
298,Huchuan_Lu,73
299,Wei_Liu_0091,55
300,Scott_Cohen,55
301,Brian_L._Price,55
302,Hailin_Jin,16
303,Stefano_Soatto,16
304,Anh_Tuan_Tran_0001,28
305,Minh_Hoai,28
306,Wei_Wang_0108,11
307,Xiaopeng_Hong,11
308,Weidi_Xie,32
309,Andrew_Zisserman,32
310,Shinsaku_Hiura,2
311,Binh-Son_Hua,28
312,Armin_Mustafa,16
313,Wei-Hao_Chung,63
314,Siva_Karthik_Mustikovela,45
315,Carsten_Rother,45
316,Zhe_Gan,36
317,Bach_Tran,28
318,Fahad_Shahbaz_Khan,39
319,Gilles_Puy,9
320,Chu-Song_Chen,11
321,Bingpeng_Ma,0
322,Hong_Chang,0
323,Min_Sun_0001,48
324,Go_Irie,66
325,Jaeyoo_Park,14
326,Chunjuan_Bo,73
327,Qikui_Zhu,47
328,Daryl_Leslie_Essam,20
329,Ruhul_A._Sarker,20
330,Jörg_Stückler,237
331,Yan_Zhou,74
332,Tsukasa_Ishigaki,74
333,Christopher_B._Choy,45
334,Silvio_Savarese,45
335,Soshi_Shimada,32
336,Hyejin_Choi,75
337,Seungmoon_Choi,75
338,Yongjae_Yoo,75
339,Hojin_Lee,75
340,Tadas_Baltrusaitis,22
341,Louis-Philippe_Morency,22
342,David_Joseph_Tan,4
343,Shiro_Kumano,74
344,Mustafa_Mohamad,45
345,Michael_A._Greenspan,45
346,Shi_Qiu,39
347,Saeed_Anwar,39
348,Christopher_M._Daniell,29
349,Corinne_Makar,29
350,David_C._Gibson,76
351,Robert_K._Atkinson,76
352,Ke_Xian,77
353,Zhiguo_Cao_0001,77
354,Julia_Elia,29
355,Satoshi_Ono,2
356,Asma_Ghandeharioun,7
357,Emanuele_Rodolà,237
358,Michael_M._Bronstein,237
359,Christian_Häne,42
360,Norbert_Schmitz,78
361,Karsten_Berns,78
362,M._Sazzad_Hussain,79
363,Rafael_A._Calvo,79
364,Matthias_Rüther,45
365,Horst_Bischof,45
366,Emmanuel_Dellandréa,80
367,Liming_Chen_0002,80
368,Kouta_Takeuchi,9
369,Kensaku_Fujii,9
370,Ilaria_Torre_0002,7
371,Daniel_Fiser,81
372,Álvaro_Torralba,81
373,Samuele_Salti,4
374,Luigi_Di_Stefano,4
375,Takashi_Kashino,9
376,Pierluigi_Zama_Ramirez,4
377,Peter_Robinson_0001,22
378,Christoph_Mayer_0001,15
379,Bernd_Radig,15
380,Amnon_Drory,82
381,Raja_Giryes,82
382,Artemy_Kotov,83
383,Anna_Zinina,83
384,Marco_Volino,16
385,Felipe_Orihuela-Espina,17
386,Luis_Enrique_Sucar,17
387,Maria_Elena_Chavez_Echeagaray,76
388,Takashi_Yamauchi,84
389,Kunchen_Xiao,84
390,Shai_Avidan,82
391,Arkadiusz_Stopczynski,85
392,Lars_Kai_Hansen,85
393,Jakob_Eg_Larsen,85
394,Sylvaine_Tuncer,7
395,Michel_François_Valstar,15
396,Branislav_Micusík,42
397,Martin_Kampel,42
398,Lukas_Stappen,15
399,Anton_Batliner,15
400,Jayson_P._Rogelio,33
401,Shanshan_Zhang,32
402,Bernt_Schiele,32
403,Andrew_Pech,86
404,Chiou_Peng_Lam,86
405,Martin_Masek,86
406,Philip_Hingston,86
407,Jeng-Lin_Li,26
408,Chi-Chun_Lee,26
409,Giorgia_Pitteri,4
410,Slobodan_Ilic,4
411,Giota_Stratou,22
412,Chang_Ma,87
413,Zhihong_Deng,87
414,Song_Zhang,87
415,Qiuyuan_Wang,88
416,Hongbin_Zha,88
417,Kresimir_Kusevic,45
418,Paul_Mrstik,45
419,Jonathan_P._Rowe,89
420,James_C._Lester,89
421,Gehui_Shen,87
422,Yutao_Qi,20
423,Xiaodong_Li_0001,20
424,Timo_Bolkart,9
425,Stefanie_Wuhrer,9
426,Antonis_Karakottas,90
427,Petros_Daras,90
428,Hao_Tang_0005,11
429,Dimitrios_Zarpalas,90
430,Lea_Schumann,15
431,Yao_Yu,55
432,Sidan_Du,55
433,Anil_Kumar_0002,91
434,Sajjan_Lal,91
435,C._L._Varshney,91
436,Nikolaos_Zioulis,90
437,Marc-Antoine_Drouin,92
438,Guy_Godin,92
439,Jun_Deng,15
440,Javier_Hernandez,7
441,Yu_Zhou_0007,55
442,Brian_R._Baucom,26
443,Chandra_Kambhamettu,55
444,Boyao_Zhou,9
445,Donald_Glowinski,17
446,Antonio_Camurri,17
447,Javier_Gonzalez_Sanchez,76
448,Carsten_Stahlhut,85
449,Michael_Kai_Petersen,85
450,Gowri_Somanath,55
451,Han_Yu_0001,93
452,Chunyan_Miao,93
453,Michael_Hödlmoser,42
454,Lucio_Tommaso_De_Paolis,94
455,Giovanni_Aloisio,94
456,Kevin_El_Haddad,35
457,Thierry_Dutoit,35
458,Linlin_Shi,95
459,Zhenwei_Zhou,95
460,Jesús_Joel_Rivas,17
461,Ryan_Carey,96
462,Tom_Everitt,96
463,Jinzhou_Zhu,60
464,Paul_Johns,7
465,Tatsuya_Shibata,17
466,Akito_Michishita,17
467,Marco_Visentini_Scarzanella,2
468,Daniel_Kienitz,97
469,Michael_A._Lones,97
470,Ekaterina_Komendantskaya,97
471,Yingqi_Wu,24
472,Mengjie_Hu,24
473,Xiaojie_Li,24
474,Lei_Zhou,28
475,Dejiang_Xu,23
476,Dingfu_Zhou,55
477,Xibin_Song,55
478,Dingye_Yang,28
479,Yeqing_Li,21
480,Julian_Ibarz,21
481,Renata_Garcia-Franco,23
482,Olga_Prokofyeva,32
483,Andrea_Vedaldi,32
484,Vincent_Gay-Bellile,98
485,Michel_Dhome,98
486,Qian_Yu,21
487,Marc_Peter_Deisenroth,15
488,Dawei_Yan,88
489,Qingsen_Yan,88
490,Zhaowen_Wang,16
491,Yi-Chieh_Liu,99
492,Hiromasa_Morikawa,99
493,Yi-Hsuan_Tsai,16
494,Ming-Hsuan_Yang_0001,16
495,Yi-Hsin_Chen,11
496,Wen-Hsiao_Peng,11
497,Meng-Li_Shih,48
