info/authors/author/0/_pid,info/authors/author/0/__text,info/authors/author/1/_pid,info/authors/author/1/__text,info/authors/author/2/_pid,info/authors/author/2/__text,info/title,info/venue,info/pages,info/year,info/type,info/access,info/key,info/ee,info/url,url,_score,_id,info/authors/author/3/_pid,info/authors/author/3/__text,info/authors/author/4/_pid,info/authors/author/4/__text,info/authors/author/5/_pid,info/authors/author/5/__text,info/authors/author/6/_pid,info/authors/author/6/__text,info/authors/author/7/_pid,info/authors/author/7/__text,info/authors/author/8/_pid,info/authors/author/8/__text,info/authors/author/9/_pid,info/authors/author/9/__text,info/authors/author/10/_pid,info/authors/author/10/__text,info/authors/author/11/_pid,info/authors/author/11/__text,info/authors/author/12/_pid,info/authors/author/12/__text,info/authors/author/13/_pid,info/authors/author/13/__text,info/authors/author/14/_pid,info/authors/author/14/__text,info/authors/author/15/_pid,info/authors/author/15/__text,info/authors/author/16/_pid,info/authors/author/16/__text,info/authors/author/17/_pid,info/authors/author/17/__text,info/authors/author/18/_pid,info/authors/author/18/__text,info/authors/author/19/_pid,info/authors/author/19/__text
27/5719,Xinpeng Liu,198/9345,Yong-Lu Li 0001,96/10571,Cewu Lu,Highlighting Object Category Immunity for the Generalization of Human-Object Interaction Detection.,AAAI,1819-1827,2022,Conference and Workshop Papers,closed,conf/aaai/LiuLL22,https://ojs.aaai.org/index.php/AAAI/article/view/20075,https://dblp.org/rec/conf/aaai/LiuLL22,URL#305923,1,305923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324/0555,Hanyuan Liu,150/8490,Chengze Li,83/6609,Xueting Liu,End-to-End Line Drawing Vectorization.,AAAI,4559-4566,2022,Conference and Workshop Papers,closed,conf/aaai/LiuLLW22,https://ojs.aaai.org/index.php/AAAI/article/view/20379,https://dblp.org/rec/conf/aaai/LiuLLW22,URL#305924,1,305924,69/220,Tien-Tsin Wong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282/8540,Chenghua Liu,308/1154,Zhuolin Liao,197/6057,Yixuan Ma,Stationary Diffusion State Neural Estimation for Multiview Clustering.,AAAI,7542-7549,2022,Conference and Workshop Papers,closed,conf/aaai/LiuLMZ22,https://ojs.aaai.org/index.php/AAAI/article/view/20719,https://dblp.org/rec/conf/aaai/LiuLMZ22,URL#305925,1,305925,46/8462,Kun Zhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/5747,Sheng Liu,69/10883,Kevin Lin,14/4119,Lijuan Wang,OVIS: Open-Vocabulary Visual Instance Search via Visual-Semantic Aligned Representation Learning.,AAAI,1773-1781,2022,Conference and Workshop Papers,closed,conf/aaai/LiuLWY022,https://ojs.aaai.org/index.php/AAAI/article/view/20070,https://dblp.org/rec/conf/aaai/LiuLWY022,URL#305926,1,305926,42/3332,Junsong Yuan,l/ZichengLiu,Zicheng Liu 0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210/9861,Shice Liu,309/8493,Shitao Lu,138/5866,Hongyi Xu,Feature Generation and Hypothesis Verification for Reliable Face Anti-spoofing.,AAAI,1782-1791,2022,Conference and Workshop Papers,closed,conf/aaai/LiuLXYDM22,https://ojs.aaai.org/index.php/AAAI/article/view/20071,https://dblp.org/rec/conf/aaai/LiuLXYDM22,URL#305927,1,305927,62/5839,Jing Yang,119/6735,Shouhong Ding,10/4950,Lizhuang Ma,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76/1820,Xin Liu,189/4488,Dayiheng Liu,203/8245,Baosong Yang,"KGR4: Retrieval, Retrospect, Refine and Rethink for Commonsense Generation.",AAAI,11029-11037,2022,Conference and Workshop Papers,closed,conf/aaai/LiuLYZDYLZS22,https://ojs.aaai.org/index.php/AAAI/article/view/21351,https://dblp.org/rec/conf/aaai/LiuLYZDYLZS22,URL#305928,1,305928,99/5971,Haibo Zhang,309/6089,Junwei Ding,06/7883,Wenqing Yao,22/1116,Weihua Luo,23/2533,Haiying Zhang,05/9013,Jinsong Su,,,,,,,,,,,,,,,,,,,,,,
129/9145-2,Yushan Liu 0002,199/8143,Yunpu Ma,220/3522,Marcel Hildebrandt,TLogic: Temporal Logical Rules for Explainable Link Forecasting on Temporal Knowledge Graphs.,AAAI,4120-4127,2022,Conference and Workshop Papers,closed,conf/aaai/LiuMHJT22,https://ojs.aaai.org/index.php/AAAI/article/view/20330,https://dblp.org/rec/conf/aaai/LiuMHJT22,URL#305929,1,305929,167/0200,Mitchell Joblin,t/VolkerTresp,Volker Tresp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239/6021,Daizong Liu,229/8206,Xiaoye Qu,191/9363,Xing Di,Memory-Guided Semantic Learning Network for Temporal Sentence Grounding.,AAAI,1665-1673,2022,Conference and Workshop Papers,closed,conf/aaai/LiuQDCXZ22,https://ojs.aaai.org/index.php/AAAI/article/view/20058,https://dblp.org/rec/conf/aaai/LiuQDCXZ22,URL#305930,1,305930,96/3060,Yu Cheng,05/8410,Zichuan Xu,84/6614,Pan Zhou,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239/6021,Daizong Liu,229/8206,Xiaoye Qu,311/3984,Yinzhen Wang,Unsupervised Temporal Video Grounding with Deep Semantic Clustering.,AAAI,1683-1691,2022,Conference and Workshop Papers,closed,conf/aaai/LiuQWDZCXZ22,https://ojs.aaai.org/index.php/AAAI/article/view/20060,https://dblp.org/rec/conf/aaai/LiuQWDZCXZ22,URL#305931,1,305931,191/9363,Xing Di,135/5092,Kai Zou,96/3060,Yu Cheng,05/8410,Zichuan Xu,84/6614,Pan Zhou,,,,,,,,,,,,,,,,,,,,,,,,
225/1962,Jiaheng Liu,211/8134,Haoyu Qin,74/8429,Yichao Wu,AnchorFace: Boosting TAR@FAR for Practical Face Recognition.,AAAI,1711-1719,2022,Conference and Workshop Papers,closed,conf/aaai/LiuQWL22,https://ojs.aaai.org/index.php/AAAI/article/view/20063,https://dblp.org/rec/conf/aaai/LiuQWL22,URL#305932,1,305932,29/8957,Ding Liang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/2373,Xian Liu,132/8026,Rui Qian,26/3707,Hang Zhou,Visual Sound Localization in the Wild by Cross-Modal Interference Erasing.,AAAI,1801-1809,2022,Conference and Workshop Papers,closed,conf/aaai/LiuQZ0L0ZZ22,https://ojs.aaai.org/index.php/AAAI/article/view/20073,https://dblp.org/rec/conf/aaai/LiuQZ0L0ZZ22,URL#305933,1,305933,49/8496-1,Di Hu 0001,42/6095,Weiyao Lin,05/6300-2,Ziwei Liu 0002,46/8066,Bolei Zhou,30/1273,Xiaowei Zhou,,,,,,,,,,,,,,,,,,,,,,,,
239/6021,Daizong Liu,229/8206,Xiaoye Qu,84/6614,Pan Zhou,Exploring Motion and Appearance Information for Temporal Sentence Grounding.,AAAI,1674-1682,2022,Conference and Workshop Papers,closed,conf/aaai/LiuQZL22,https://ojs.aaai.org/index.php/AAAI/article/view/20059,https://dblp.org/rec/conf/aaai/LiuQZL22,URL#305934,1,305934,51/3710,Yang Liu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
