,Number of communities,Modularity,cluster_coeff_lis,overall_avg_clustering_coefficient,density_lis,overall_internal_density,conductance_lis,coverage_lis,overall_coverage_value,edge_cut_lis,normalized_cut_lis
0,11.0,0.5184676487952369,0.22831074676752927,0.22127307382854655,0.008641226277893271,1.0,0.16991643454038996,0.16037802800908402,1.0,5551,0.2106072474037008
1,,,0.5833333333333334,,0.6666666666666666,,0.38461538461538464,4.7312641937925814e-05,,5,0.38464495729023307
2,,,0.21339983746860472,,0.01352882723101007,,0.32703848013423964,0.13993896669190006,,11499,0.41289868756067344
3,,,0.5833333333333334,,0.6666666666666666,,0.2727272727272727,4.7312641937925814e-05,,3,0.2727450161222939
4,,,0.33070262214973395,,0.02781688919082291,,0.232857394676538,0.1801665404996215,,9247,0.30433068591068313
5,,,0.5833333333333333,,0.6666666666666666,,0.3333333333333333,4.7312641937925814e-05,,4,0.333356991333286
6,,,0.24649295753174352,,0.015631990252910326,,0.29079622132253713,0.15539837244511734,,10774,0.37239394319048424
7,,,0.857142857142857,,0.5238095238095238,,0.15384615384615385,0.000130109765329296,,4,0.15386981380522213
8,,,0.21733035571464226,,0.010480683557606634,,0.39873028875691174,0.08681869795609387,,9735,0.4660199696234176
9,,,1.0,,1.0,,0.25,3.548448145344436e-05,,2,0.2500118287201325
10,,,0.0,,0.4,,0.3333333333333333,4.7312641937925814e-05,,4,0.333356991333286
