,Number of communities,Modularity,cluster_coeff_lis,overall_avg_clustering_coefficient,density_lis,overall_internal_density,conductance_lis,coverage_lis,overall_coverage_value,edge_cut_lis,normalized_cut_lis
0,27.0,0.37151332882420895,0.8333333333333333,0.22127307382854655,0.8333333333333334,1.0,0.2857142857142857,5.914080242240727e-05,1.0,4,0.2857379439940922
1,,,0.6998015873015873,,0.5303030303030303,,0.375,0.00041398561695685086,,42,0.3752485560079538
2,,,1.0,,1.0,,0.25,3.548448145344436e-05,,2,0.2500118287201325
3,,,1.0,,1.0,,0.45454545454545453,3.548448145344436e-05,,5,0.4545750268704899
4,,,0.23008392527113913,,0.00700719459631226,,0.12921348314606743,0.3153387585162756,,7912,0.20257055183023892
5,,,0.5833333333333334,,0.6666666666666666,,0.2727272727272727,4.7312641937925814e-05,,3,0.2727450161222939
6,,,1.0,,1.0,,0.4,3.548448145344436e-05,,4,0.40002365772010556
7,,,0.8055555555555557,,0.6666666666666666,,0.3939393939393939,0.00011828160484481453,,13,0.3940162919903241
8,,,0.857142857142857,,0.5238095238095238,,0.15384615384615385,0.000130109765329296,,4,0.15386981380522213
9,,,0.0,,0.1,,0.8333333333333334,1.1828160484481453e-05,,10,0.8333924783332151
10,,,0.7,,0.7,,0.5,8.279712339137017e-05,,14,0.5000828108363895
11,,,0.9,,0.8,,0.38461538461538464,0.00014193792581377744,,15,0.3847041162849006
12,,,0.8333333333333333,,0.8333333333333334,,0.23076923076923078,5.914080242240727e-05,,3,0.23078697437413984
13,,,1.0,,1.0,,0.45454545454545453,3.548448145344436e-05,,5,0.4545750268704899
14,,,0.23171365070910485,,0.006978291492097014,,0.12778622496845782,0.587658497350492,,7900,0.20143491141150593
15,,,0.0,,1.0,,0.3333333333333333,1.1828160484481453e-05,,1,0.33333924751850647
16,,,0.5833333333333333,,0.6666666666666666,,0.7142857142857143,4.7312641937925814e-05,,20,0.7144040154805563
17,,,0.6411976911976912,,0.4909090909090909,,0.4,0.00031936033308099923,,36,0.4002130202724293
18,,,1.0,,1.0,,0.25,3.548448145344436e-05,,2,0.2500118287201325
19,,,0.5833333333333333,,0.6666666666666666,,0.4666666666666667,4.7312641937925814e-05,,7,0.4667080689012044
20,,,1.0,,1.0,,0.25,3.548448145344436e-05,,2,0.2500118287201325
21,,,1.0,,1.0,,0.4,3.548448145344436e-05,,4,0.40002365772010556
22,,,1.0,,1.0,,0.3548387096774194,0.00011828160484481453,,11,0.35490377648920474
23,,,1.0,,1.0,,0.14285714285714285,3.548448145344436e-05,,1,0.14286305718222964
24,,,0.3611111111111111,,0.4,,0.3333333333333333,7.096896290688872e-05,,6,0.3333688215926342
25,,,0.8666666666666666,,0.8,,0.5294117647058824,9.462528387585163e-05,,18,0.5295182395600709
26,,,1.0,,1.0,,0.4,3.548448145344436e-05,,4,0.40002365772010556
